01:40:07:313 [ALWAYS]	GUDE Logging Started
01:40:07:313 [INFO]	SqliteResumeCache::SqliteResumeCache basedirectory is null/empty
01:40:07:313 [ERROR]	SqliteResumeCache::CreateSqliteResumeCache creating resume cache pointer failure
01:40:07:313 [ERROR]	Initialize resume cache pointer failure
01:40:07:313 [INFO]	gude policy POLICY_USER limit (2,2,1) chunk 2097152, chunking (UL 0 DL 1), resXfer 1, adapt 0, NSURL 0, timeout 86400 
01:40:07:313 [INFO]	Initialized -- gude-lib version: v0.12.1 app: gude
01:40:13:515 [WARN]	Ignoring attempt to reinit logging to \gude at level 4 retaining 3 days of logs
01:40:13:515 [INFO]	SqliteResumeCache::SqliteResumeCache basedirectory is null/empty
01:40:13:515 [ERROR]	SqliteResumeCache::CreateSqliteResumeCache creating resume cache pointer failure
01:40:13:515 [ERROR]	Initialize resume cache pointer failure
01:40:13:516 [INFO]	gude policy POLICY_USER limit (4,4,1) chunk 2097152, chunking (UL 0 DL 1), resXfer 1, adapt 0, NSURL 1, timeout 86400 
01:40:13:516 [INFO]	Initialized -- gude-lib version: v0.12.1 app: gude
