01:10:21:977 [ALWAYS]	GUDE Logging Started
01:10:21:977 [INFO]	SqliteResumeCache::SqliteResumeCache basedirectory is null/empty
01:10:21:977 [ERROR]	SqliteResumeCache::CreateSqliteResumeCache creating resume cache pointer failure
01:10:21:977 [ERROR]	Initialize resume cache pointer failure
01:10:21:977 [INFO]	gude policy POLICY_USER limit (2,2,1) chunk 2097152, chunking (UL 0 DL 1), resXfer 1, adapt 0, NSURL 0, timeout 86400 
01:10:21:977 [INFO]	Initialized -- gude-lib version: v0.12.1 app: gude
01:10:28:318 [WARN]	Ignoring attempt to reinit logging to \gude at level 4 retaining 3 days of logs
01:10:28:318 [INFO]	SqliteResumeCache::SqliteResumeCache basedirectory is null/empty
01:10:28:318 [ERROR]	SqliteResumeCache::CreateSqliteResumeCache creating resume cache pointer failure
01:10:28:318 [ERROR]	Initialize resume cache pointer failure
01:10:28:318 [INFO]	gude policy POLICY_USER limit (4,4,1) chunk 2097152, chunking (UL 0 DL 1), resXfer 1, adapt 0, NSURL 1, timeout 86400 
01:10:28:318 [INFO]	Initialized -- gude-lib version: v0.12.1 app: gude
